Parent,Child,Sign
Amm,Cyc,-1
Amm,Gyc,-1
Amm,Leg,-1
Ana,Abb,-1
Ana,Bba,-1
Ana,Cog,-1
Ana,Gaa,-1
Ana,Gog,-1
Ana,Gyc,-1
Ana,Lel,-1
Ana,Lol,-1
Ana,Php,-1
Ana,Pef,-1
Ana,Rur,-1
Ana,Sal,-1
Ana,Sat,-1
Ana,Sas,-1
Ana,Sqc,-1
Blb,Gyc,-1
Cog,Pef,-1
Cog,Sat,-1
Esl,Abb,-1
Esl,Ala,-1
Esl,Amm,-1
Esl,Ana,-1
Esl,Bba,-1
Esl,Cog,-1
Esl,Cyc,-1
Esl,Gaa,-1
Esl,Gog,-1
Esl,Gyc,-1
Esl,Leg,-1
Esl,Lel,-1
Esl,Lol,-1
Esl,Pef,-1
Esl,Php,-1
Esl,Pup,-1
Esl,Rur,-1
Esl,Sal,-1
Esl,Sat,-1
Esl,Sas,-1
Esl,Sce,-1
Esl,Sqc,-1
Esl,Tht,-1
Esl,Tit,-1
Gaa,Pup,-1
Lol,Gyc,-1
Lol,Esl,-1
Lol,Pup,-1
Lol,Sat,-1
Lol,Sas,-1
Lol,Sal,-1
Pef,Ala,-1
Pef,Gaa,-1
Pef,Gyc,-1
Pef,Php,-1
Pef,Rur,-1
Pef,Sal,-1
Pef,Sce,-1
Pef,Sqc,-1
Pup,Gaa,-1
Sas,Gaa,-1
Sat,Bba,-1
Sat,Cog,-1
Sat,Gaa,-1
Sat,Gyc,-1
Sat,Lel,-1
Sat,Pef,-1
Sat,Php,-1
Sat,Pup,-1
Sat,Rur,-1
Sat,Sas,-1
Sal,Ala,-1
Sal,Abb,-1
Sal,Cog,-1
Sal,Esl,-1
Sal,Gyc,-1
Sal,Leg,-1
Sal,Pef,-1
Sal,Rur,-1
Sal,Sat,-1
Sqc,Alb,-1
Sqc,Bam,-1
Sqc,Cyc,-1
Cyc,Amm,1
Gyc,Amm,1
Leg,Amm,1
Abb,Ana,1
Bba,Ana,1
Cog,Ana,1
Gaa,Ana,1
Gog,Ana,1
Gyc,Ana,1
Lel,Ana,1
Lol,Ana,1
Php,Ana,1
Pef,Ana,1
Rur,Ana,1
Sal,Ana,1
Sat,Ana,1
Sas,Ana,1
Sqc,Ana,1
Gyc,Blb,1
Pef,Cog,1
Sat,Cog,1
Abb,Esl,1
Ala,Esl,1
Amm,Esl,1
Ana,Esl,1
Bba,Esl,1
Cog,Esl,1
Cyc,Esl,1
Gaa,Esl,1
Gog,Esl,1
Gyc,Esl,1
Leg,Esl,1
Lel,Esl,1
Lol,Esl,1
Pef,Esl,1
Php,Esl,1
Pup,Esl,1
Rur,Esl,1
Sal,Esl,1
Sat,Esl,1
Sas,Esl,1
Sce,Esl,1
Sqc,Esl,1
Tht,Esl,1
Tit,Esl,1
Pup,Gaa,1
Gyc,Lol,1
Esl,Lol,1
Pup,Lol,1
Sat,Lol,1
Sas,Lol,1
Sal,Lol,1
Ala,Pef,1
Gaa,Pef,1
Gyc,Pef,1
Php,Pef,1
Rur,Pef,1
Sal,Pef,1
Sce,Pef,1
Sqc,Pef,1
Gaa,Pup,1
Gaa,Sas,1
Bba,Sat,1
Cog,Sat,1
Gaa,Sat,1
Gyc,Sat,1
Lel,Sat,1
Pef,Sat,1
Php,Sat,1
Pup,Sat,1
Rur,Sat,1
Sas,Sat,1
Ala,Sal,1
Abb,Sal,1
Cog,Sal,1
Esl,Sal,1
Gyc,Sal,1
Leg,Sal,1
Pef,Sal,1
Rur,Sal,1
Sat,Sal,1
Alb,Sqc,1
Bam,Sqc,1
Cyc,Sqc,1
