Parent,Child,Sign
Ameiurus_melas,Cyprinus_carpio,-1
Ameiurus_melas,Gymnocephalus_cernua,-1
Ameiurus_melas,Lepomis_gibbosus,-1
Anguilla_anguilla,Abramis_brama,-1
Anguilla_anguilla,Barbatula_barbatula,-1
Anguilla_anguilla,Cottus_gobio,-1
Anguilla_anguilla,Gasterosteus_aculeatus,-1
Anguilla_anguilla,Gobio_gobio,-1
Anguilla_anguilla,Gymnocephalus_cernua,-1
Anguilla_anguilla,Leuciscus_leuciscus,-1
Anguilla_anguilla,Lota_lota,-1
Anguilla_anguilla,Phoxinus_phoxinus,-1
Anguilla_anguilla,Perca_fluviatilis,-1
Anguilla_anguilla,Rutilus_rutilus,-1
Anguilla_anguilla,Sander_lucioperca,-1
Anguilla_anguilla,Salmo_trutta,-1
Anguilla_anguilla,Salmo_salar,-1
Anguilla_anguilla,Squalius_cephalus,-1
Blicca_bjoerkna,Gymnocephalus_cernua,-1
Cottus_gobio,Perca_fluviatilis,-1
Cottus_gobio,Salmo_trutta,-1
Esox_lucius,Abramis_brama,-1
Esox_lucius,Alburnus_alburnus,-1
Esox_lucius,Ameiurus_melas,-1
Esox_lucius,Anguilla_anguilla,-1
Esox_lucius,Barbatula_barbatula,-1
Esox_lucius,Cottus_gobio,-1
Esox_lucius,Cyprinus_carpio,-1
Esox_lucius,Gasterosteus_aculeatus,-1
Esox_lucius,Gobio_gobio,-1
Esox_lucius,Gymnocephalus_cernua,-1
Esox_lucius,Lepomis_gibbosus,-1
Esox_lucius,Leuciscus_leuciscus,-1
Esox_lucius,Lota_lota,-1
Esox_lucius,Perca_fluviatilis,-1
Esox_lucius,Phoxinus_phoxinus,-1
Esox_lucius,Pungitius_pungitius,-1
Esox_lucius,Rutilus_rutilus,-1
Esox_lucius,Sander_lucioperca,-1
Esox_lucius,Salmo_trutta,-1
Esox_lucius,Salmo_salar,-1
Esox_lucius,Scardinius_erythrophthalmus,-1
Esox_lucius,Squalius_cephalus,-1
Esox_lucius,Thymallus_thymallus,-1
Esox_lucius,Tinca_tinca,-1
Gasterosteus_aculeatus,Pungitius_pungitius,-1
Lota_lota,Gymnocephalus_cernua,-1
Lota_lota,Esox_lucius,-1
Lota_lota,Pungitius_pungitius,-1
Lota_lota,Salmo_trutta,-1
Lota_lota,Salmo_salar,-1
Lota_lota,Sander_lucioperca,-1
Perca_fluviatilis,Alburnus_alburnus,-1
Perca_fluviatilis,Gasterosteus_aculeatus,-1
Perca_fluviatilis,Gymnocephalus_cernua,-1
Perca_fluviatilis,Phoxinus_phoxinus,-1
Perca_fluviatilis,Rutilus_rutilus,-1
Perca_fluviatilis,Sander_lucioperca,-1
Perca_fluviatilis,Scardinius_erythrophthalmus,-1
Perca_fluviatilis,Squalius_cephalus,-1
Pungitius_pungitius,Gasterosteus_aculeatus,-1
Salmo_salar,Gasterosteus_aculeatus,-1
Salmo_trutta,Barbatula_barbatula,-1
Salmo_trutta,Cottus_gobio,-1
Salmo_trutta,Gasterosteus_aculeatus,-1
Salmo_trutta,Gymnocephalus_cernua,-1
Salmo_trutta,Leuciscus_leuciscus,-1
Salmo_trutta,Perca_fluviatilis,-1
Salmo_trutta,Phoxinus_phoxinus,-1
Salmo_trutta,Pungitius_pungitius,-1
Salmo_trutta,Rutilus_rutilus,-1
Salmo_trutta,Salmo_salar,-1
Sander_lucioperca,Alburnus_alburnus,-1
Sander_lucioperca,Abramis_brama,-1
Sander_lucioperca,Cottus_gobio,-1
Sander_lucioperca,Esox_lucius,-1
Sander_lucioperca,Gymnocephalus_cernua,-1
Sander_lucioperca,Lepomis_gibbosus,-1
Sander_lucioperca,Perca_fluviatilis,-1
Sander_lucioperca,Rutilus_rutilus,-1
Sander_lucioperca,Salmo_trutta,-1
Squalius_cephalus,Alburnoides_bipunctatus,-1
Squalius_cephalus,Barbus_meridionalis,-1
Squalius_cephalus,Cyprinus_carpio,-1
Cyprinus_carpio,Ameiurus_melas,1
Gymnocephalus_cernua,Ameiurus_melas,1
Lepomis_gibbosus,Ameiurus_melas,1
Abramis_brama,Anguilla_anguilla,1
Barbatula_barbatula,Anguilla_anguilla,1
Cottus_gobio,Anguilla_anguilla,1
Gasterosteus_aculeatus,Anguilla_anguilla,1
Gobio_gobio,Anguilla_anguilla,1
Gymnocephalus_cernua,Anguilla_anguilla,1
Leuciscus_leuciscus,Anguilla_anguilla,1
Lota_lota,Anguilla_anguilla,1
Phoxinus_phoxinus,Anguilla_anguilla,1
Perca_fluviatilis,Anguilla_anguilla,1
Rutilus_rutilus,Anguilla_anguilla,1
Sander_lucioperca,Anguilla_anguilla,1
Salmo_trutta,Anguilla_anguilla,1
Salmo_salar,Anguilla_anguilla,1
Squalius_cephalus,Anguilla_anguilla,1
Gymnocephalus_cernua,Blicca_bjoerkna,1
Perca_fluviatilis,Cottus_gobio,1
Salmo_trutta,Cottus_gobio,1
Abramis_brama,Esox_lucius,1
Alburnus_alburnus,Esox_lucius,1
Ameiurus_melas,Esox_lucius,1
Anguilla_anguilla,Esox_lucius,1
Barbatula_barbatula,Esox_lucius,1
Cottus_gobio,Esox_lucius,1
Cyprinus_carpio,Esox_lucius,1
Gasterosteus_aculeatus,Esox_lucius,1
Gobio_gobio,Esox_lucius,1
Gymnocephalus_cernua,Esox_lucius,1
Lepomis_gibbosus,Esox_lucius,1
Leuciscus_leuciscus,Esox_lucius,1
Lota_lota,Esox_lucius,1
Perca_fluviatilis,Esox_lucius,1
Phoxinus_phoxinus,Esox_lucius,1
Pungitius_pungitius,Esox_lucius,1
Rutilus_rutilus,Esox_lucius,1
Sander_lucioperca,Esox_lucius,1
Salmo_trutta,Esox_lucius,1
Salmo_salar,Esox_lucius,1
Scardinius_erythrophthalmus,Esox_lucius,1
Squalius_cephalus,Esox_lucius,1
Thymallus_thymallus,Esox_lucius,1
Tinca_tinca,Esox_lucius,1
Pungitius_pungitius,Gasterosteus_aculeatus,1
Gymnocephalus_cernua,Lota_lota,1
Esox_lucius,Lota_lota,1
Pungitius_pungitius,Lota_lota,1
Salmo_trutta,Lota_lota,1
Salmo_salar,Lota_lota,1
Sander_lucioperca,Lota_lota,1
Alburnus_alburnus,Perca_fluviatilis,1
Gasterosteus_aculeatus,Perca_fluviatilis,1
