Latin_name,SpecCode
Alburnus_alburnus,Ala
Anguilla_anguilla,Ana
Barbus_meridionalis,Bam
Telestes_souffia,Tes
Blicca_bjoerkna,Blb
Abramis_brama,Abb
Esox_lucius,Esl
Cyprinus_carpio,Cyc
Cottus_gobio,Cog
Squalius_cephalus,Sqc
Gasterosteus_aculeatus,Gaa
Pungitius_pungitius,Pup
Rutilus_rutilus,Rur
Gobio_gobio,Gog
Gymnocephalus_cernua,Gyc
Chondrostoma_nasus,Chn
Barbatula_barbatula,Bba
Lota_lota,Lol
Thymallus_thymallus,Tht
Ameiurus_melas,Amm
Perca_fluviatilis,Pef
Lepomis_gibbosus,Leg
Scardinius_erythrophthalmus,Sce
Sander_lucioperca,Sal
Salmo_salar,Sas
Alburnoides_bipunctatus,Alb
Tinca_tinca,Tit
Parachondrostoma_toxostoma,Pat
Salmo_trutta,Sat
Phoxinus_phoxinus,Php
Leuciscus_leuciscus,Lel
