OBJECTID Periode1 Periode2 Ala Ana Bab Bam Tes Blb Abb Esl Cyc Cog Sqc Gaa Pup Rur Gog Gyc Chn Bba Lol Tht Amm Pef Leg Sce Sal Sas Alb Tit Pat Sat Php Lel
449474 P1 P2 unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449474 P6 P7 unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449474 P4 P5 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted extirpated unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449474 P3 P4 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted colonized unoccupied unoccupied colonized persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449474 P5 P6 unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied extirpated persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449474 P2 P3 unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted extirpated unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449483 P6 P7 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied colonized persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449483 P1 P2 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449483 P5 P6 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied extirpated unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449483 P3 P4 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449483 P2 P3 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449483 P4 P5 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied colonized unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
429143 P1 P2 persisted persisted unoccupied unoccupied unoccupied unoccupied persisted extirpated extirpated persisted persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted persisted persisted 
429143 P3 P4 extirpated persisted unoccupied unoccupied unoccupied extirpated persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted persisted persisted unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted persisted persisted 
429143 P2 P3 persisted persisted unoccupied unoccupied unoccupied colonized persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted persisted colonized unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted persisted persisted 
429143 P6 P7 persisted persisted unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted persisted persisted 
429143 P4 P5 colonized persisted unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted persisted extirpated unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted persisted persisted 
429143 P5 P6 persisted persisted unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted persisted persisted 
449506 P1 P2 colonized persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied extirpated unoccupied unoccupied unoccupied persisted persisted persisted 
449506 P6 P7 persisted persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted persisted persisted 
449670 P3 P4 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied persisted extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied 
449670 P5 P6 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied 
449670 P1 P2 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied 
449670 P2 P3 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied persisted colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied 
449670 P4 P5 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied 
449853 P5 P6 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied extirpated unoccupied unoccupied persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449853 P2 P3 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied extirpated persisted extirpated unoccupied unoccupied colonized persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied extirpated extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449853 P6 P7 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied colonized persisted persisted unoccupied unoccupied colonized persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449853 P4 P5 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied colonized unoccupied unoccupied persisted colonized unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449853 P1 P2 unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied colonized persisted persisted unoccupied unoccupied extirpated persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied colonized colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449853 P3 P4 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied extirpated persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
429012 P5 P6 unoccupied unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted unoccupied 
429012 P2 P3 unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied extirpated persisted persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted unoccupied 
429012 P6 P7 unoccupied colonized extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied colonized persisted persisted unoccupied unoccupied persisted unoccupied persisted unoccupied colonized unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted colonized 
429012 P3 P4 unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted unoccupied 
429012 P7 P8 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied extirpated extirpated extirpated unoccupied unoccupied persisted unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted extirpated 
429012 P4 P5 unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted unoccupied 
429012 P1 P2 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied colonized persisted persisted unoccupied extirpated persisted colonized unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted extirpated 
449885 P5 P6 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted colonized unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449885 P3 P4 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449885 P7 P8 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
