site rep_1 rep_2 rep_3 rep_4 rep_5 rep_6 rep_7 rep_8 rep_9 rep_10 rep_11 rep_12 rep_13 rep_14
MR1/Q8-1 14 18 5 4 16 7 8 2 13 11 3 10 15 6
MR1/Q8-3 8 15 5 7 18 14 2 6 11 9 12 13 3 19
MR2-1 9 14 5 7 16 13 19 8 10 2 17 12 3 4
MR2-3 7 15 17 2 14 6 19 12 10 13 16 18 9 4
MR3/Q6-1 16 13 9 14 11 15 3 12 2 19 17 6 7 4
MR3/Q6-3 14 9 17 7 2 5 8 10 13 11 18 16 6 15
MR4/Q5-1 15 9 17 2 11 3 6 14 13 5 10 12 8 7
MR4/Q5-3 2 11 10 14 8 3 7 17 4 19 15 18 13 6
MR5/Q4-1 3 9 6 16 14 12 18 2 10 7 19 4 8 17
MR5/Q4-3 13 4 9 17 10 7 16 15 2 6 18 14 11 5
MR6/Q3-1 6 11 17 13 3 5 4 15 18 9 8 19 12 16
MR6/Q3-3 13 15 3 10 17 2 16 7 5 4 12 14 9 6
MR7/Q2-1 2 9 12 10 18 13 5 6 16 7 14 4 17 3
MR7/Q2-3 9 8 5 13 14 12 2 6 17 16 7 19 10 18
MR8/Q13-1 10 3 2 7 5 18 11 19 15 13 6 9 14 4
MR8/Q13-3 18 12 3 8 10 2 4 16 6 17 9 5 14 13
MR9/Q14-1 2 5 6 10 3 17 8 11 19 14 16 13 4 15
MR9/Q14-3 17 5 11 13 2 8 14 7 15 16 4 3 18 12
MR10-1 3 7 6 13 16 5 2 18 17 19 11 15 8 4
MR10-3 18 4 15 9 8 11 2 7 14 13 16 12 19 5
MR11-1 2 12 3 13 10 9 11 8 5 15 14 6 4 7
MR11-3 8 11 3 15 10 14 7 6 5 4 9 12 13 2
MR12-1 5 3 13 10 11 15 7 12 6 4 8 14 2 9
MR12-3 10 15 3 2 14 7 12 8 13 5 11 4 6 9
MR13-1 8 15 5 13 6 2 3 7 14 11 10 12 4 9
MR13-3 13 3 14 9 5 2 15 4 10 12 7 11 8 6
MR14-1 14 11 15 5 4 13 10 6 9 7 3 12 2 8
MR14-3 9 14 5 12 7 8 6 2 13 10 3 15 11 4
MR15-1 9 7 8 15 12 14 3 13 4 6 10 2 5 11
MR15-3 10 8 9 15 13 6 5 14 2 11 12 3 7 4
