site Mytilus.californianus Mytilus.trossulus Pollicipes Balanus.glandula Hallosaccion Mastocarpus Corallina.vancouvriensis Endocladia Ulva Porphyra Petrocelis.Ralfsia Acrosiphonia Diatoms Rock Fucus Microcladia Halichondria.Haliclona Hedophyllum Anthopleura Polysiphonia Iridea Chthamalus Ugly.Clam Callithamnion Phyllospadix Nucella.ostrina Nucella.canalicalata Lottia.paradigitalis Lottia.scutum Onchidella.borealis Katharina.tunicata Mopalia Nemertea Littorina.sitkana Littorina.scutulata Strongylocentrotus.purpuratus Lepasterias.hexactis Amphipoda Amphissa.columbiana Idotea Cirolana Chironomidae Calliostoma.ligatum Sipunculid Cucumaria Ocenebra.interfossa Notoplana Skinny.annelid Lepidochitona Archidoris.montereyensis Oedignathus Staphylinid.Beetle
MR1/Q8-1 1 1 1 0 0 1 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MR1/Q8-1 1 0 1 1 0 0 1 1 0 0 1 0 1 1 0 1 1 0 1 0 1 0 0 0 0 0 1 1 0 1 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
MR1/Q8-1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
MR1/Q8-1 1 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0
MR1/Q8-1 1 0 1 0 0 1 1 0 1 1 1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 1 1 0 1 0 0 1 1 0 1 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0
MR1/Q8-1 1 0 1 1 1 0 1 0 0 1 1 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0
MR1/Q8-1 1 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 0
MR1/Q8-1 1 0 1 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
MR1/Q8-1 1 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MR1/Q8-1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0
