Parent,Child,Sign
Mytilus-californianus,Mytilus-californianus,1
Mytilus-trossulus,Mytilus-californianus,-1
Pollicipes,Mytilus-californianus,-1
Anthopleura,Mytilus-californianus,-1
Callithamnion,Mytilus-californianus,-1
Nucella-ostrina,Mytilus-californianus,-1
Mytilus-californianus,Mytilus-trossulus,-1
Mytilus-trossulus,Mytilus-trossulus,1
Pollicipes,Mytilus-trossulus,-1
Hedophyllum,Mytilus-trossulus,-1
Anthopleura,Mytilus-trossulus,-1
Iridea,Mytilus-trossulus,-1
Callithamnion,Mytilus-trossulus,-1
Nucella-ostrina,Mytilus-trossulus,-1
Mytilus-californianus,Pollicipes,-1
Mytilus-trossulus,Pollicipes,-1
Pollicipes,Pollicipes,1
Hedophyllum,Pollicipes,-1
Nucella-ostrina,Pollicipes,-1
Katharina-tunicata,Pollicipes,-1
Nemertea,Pollicipes,-1
Amphissa-columbiana,Pollicipes,-1
Idotea,Pollicipes,-1
Cirolana,Pollicipes,-1
Pollicipes,Balanus-glandula,-1
Balanus-glandula,Balanus-glandula,1
Endocladia,Balanus-glandula,-1
Acrosiphonia,Balanus-glandula,-1
Hedophyllum,Balanus-glandula,-1
Chthamalus,Balanus-glandula,-1
Phyllospadix,Balanus-glandula,-1
Katharina-tunicata,Balanus-glandula,-1
Nemertea,Balanus-glandula,-1
Littorina-scutulata,Balanus-glandula,-1
Strongylocentrotus-purpuratus,Balanus-glandula,-1
Amphissa-columbiana,Balanus-glandula,-1
Idotea,Balanus-glandula,-1
Cirolana,Balanus-glandula,-1
Pollicipes,Hallosaccion,-1
Balanus-glandula,Hallosaccion,-1
Hallosaccion,Hallosaccion,1
Endocladia,Hallosaccion,-1
Acrosiphonia,Hallosaccion,-1
Hedophyllum,Hallosaccion,-1
Chthamalus,Hallosaccion,-1
Phyllospadix,Hallosaccion,-1
Katharina-tunicata,Hallosaccion,-1
Mopalia,Hallosaccion,-1
Nemertea,Hallosaccion,-1
Littorina-scutulata,Hallosaccion,-1
Strongylocentrotus-purpuratus,Hallosaccion,-1
Amphissa-columbiana,Hallosaccion,-1
Idotea,Hallosaccion,-1
Cirolana,Hallosaccion,-1
Mytilus-californianus,Mastocarpus,-1
Mytilus-trossulus,Mastocarpus,-1
Pollicipes,Mastocarpus,-1
Balanus-glandula,Mastocarpus,1
Hallosaccion,Mastocarpus,1
Mastocarpus,Mastocarpus,1
Corallina-vancouvriensis,Mastocarpus,-1
Endocladia,Mastocarpus,-1
Porphyra,Mastocarpus,-1
Petrocelis-Ralfsia,Mastocarpus,-1
Diatoms,Mastocarpus,-1
Microcladia,Mastocarpus,-1
Hedophyllum,Mastocarpus,-1
Anthopleura,Mastocarpus,-1
Ugly-Clam,Mastocarpus,-1
Callithamnion,Mastocarpus,-1
Nucella-ostrina,Mastocarpus,-1
Nucella-canalicalata,Mastocarpus,-1
Mytilus-californianus,Corallina-vancouvriensis,-1
Mytilus-trossulus,Corallina-vancouvriensis,-1
Pollicipes,Corallina-vancouvriensis,-1
Balanus-glandula,Corallina-vancouvriensis,1
Hallosaccion,Corallina-vancouvriensis,1
Mastocarpus,Corallina-vancouvriensis,-1
Corallina-vancouvriensis,Corallina-vancouvriensis,1
Endocladia,Corallina-vancouvriensis,-1
Ulva,Corallina-vancouvriensis,-1
Porphyra,Corallina-vancouvriensis,-1
Petrocelis-Ralfsia,Corallina-vancouvriensis,-1
Acrosiphonia,Corallina-vancouvriensis,1
Diatoms,Corallina-vancouvriensis,-1
Microcladia,Corallina-vancouvriensis,-1
Halichondria-Haliclona,Corallina-vancouvriensis,-1
Hedophyllum,Corallina-vancouvriensis,-1
Anthopleura,Corallina-vancouvriensis,-1
Ugly-Clam,Corallina-vancouvriensis,-1
Callithamnion,Corallina-vancouvriensis,-1
Nucella-ostrina,Corallina-vancouvriensis,-1
Nucella-canalicalata,Corallina-vancouvriensis,-1
Mytilus-californianus,Endocladia,-1
Mytilus-trossulus,Endocladia,-1
Pollicipes,Endocladia,-1
Mastocarpus,Endocladia,-1
Corallina-vancouvriensis,Endocladia,-1
Endocladia,Endocladia,1
Ulva,Endocladia,-1
Porphyra,Endocladia,-1
Petrocelis-Ralfsia,Endocladia,-1
Diatoms,Endocladia,-1
Microcladia,Endocladia,-1
Halichondria-Haliclona,Endocladia,-1
Anthopleura,Endocladia,-1
Iridea,Endocladia,-1
Ugly-Clam,Endocladia,-1
Callithamnion,Endocladia,-1
Nucella-ostrina,Endocladia,-1
Nucella-canalicalata,Endocladia,-1
Pollicipes,Ulva,-1
Balanus-glandula,Ulva,1
Hallosaccion,Ulva,1
Mastocarpus,Ulva,-1
Corallina-vancouvriensis,Ulva,-1
Endocladia,Ulva,-1
Ulva,Ulva,1
Porphyra,Ulva,-1
Petrocelis-Ralfsia,Ulva,-1
Diatoms,Ulva,-1
Microcladia,Ulva,-1
Halichondria-Haliclona,Ulva,-1
Hedophyllum,Ulva,-1
Anthopleura,Ulva,-1
Ugly-Clam,Ulva,-1
Callithamnion,Ulva,-1
Nucella-ostrina,Ulva,-1
Nucella-canalicalata,Ulva,-1
Mytilus-californianus,Porphyra,-1
