Parent,Child,Sign
Mytilus-californianus,Mytilus-californianus,1
Mytilus-trossulus,Mytilus-californianus,-1
Pollicipes,Mytilus-californianus,-1
Hedophyllum,Mytilus-californianus,-1
Phyllospadix,Mytilus-californianus,-1
Mytilus-californianus,Mytilus-trossulus,-1
Mytilus-trossulus,Mytilus-trossulus,1
Pollicipes,Mytilus-trossulus,-1
Halichondria-Haliclona,Mytilus-trossulus,-1
Hedophyllum,Mytilus-trossulus,-1
Anthopleura,Mytilus-trossulus,-1
Phyllospadix,Mytilus-trossulus,-1
Mytilus-californianus,Pollicipes,-1
Mytilus-trossulus,Pollicipes,-1
Pollicipes,Pollicipes,1
Halichondria-Haliclona,Pollicipes,-1
Phyllospadix,Pollicipes,-1
Lottia-pelta,Pollicipes,-1
Lottia-paradigitalis,Pollicipes,-1
Lottia-scutum,Pollicipes,-1
Strongylocentrotus-purpuratus,Pollicipes,-1
Pollicipes,Semibalanus-cariosus,-1
Semibalanus-cariosus,Semibalanus-cariosus,1
Corallina-vancouvriensis,Semibalanus-cariosus,-1
Petrocelis-Ralfsia,Semibalanus-cariosus,-1
Halichondria-Haliclona,Semibalanus-cariosus,-1
Ugly-Clam,Semibalanus-cariosus,-1
Phyllospadix,Semibalanus-cariosus,-1
Lottia-pelta,Semibalanus-cariosus,-1
Lottia-scutum,Semibalanus-cariosus,-1
Katharina-tunicata,Semibalanus-cariosus,-1
Mopalia,Semibalanus-cariosus,-1
Strongylocentrotus-purpuratus,Semibalanus-cariosus,-1
Pollicipes,Balanus-glandula,-1
Semibalanus-cariosus,Balanus-glandula,-1
Balanus-glandula,Balanus-glandula,1
Corallina-vancouvriensis,Balanus-glandula,-1
Petrocelis-Ralfsia,Balanus-glandula,-1
Halichondria-Haliclona,Balanus-glandula,-1
Ugly-Clam,Balanus-glandula,-1
Phyllospadix,Balanus-glandula,-1
Lottia-pelta,Balanus-glandula,-1
Lottia-digitalis,Balanus-glandula,-1
Lottia-paradigitalis,Balanus-glandula,-1
Lottia-scutum,Balanus-glandula,-1
Katharina-tunicata,Balanus-glandula,-1
Mopalia,Balanus-glandula,-1
Strongylocentrotus-purpuratus,Balanus-glandula,-1
Mytilus-californianus,Hallosaccion,-1
Mytilus-trossulus,Hallosaccion,-1
Pollicipes,Hallosaccion,-1
Semibalanus-cariosus,Hallosaccion,1
Balanus-glandula,Hallosaccion,1
Hallosaccion,Hallosaccion,1
Mastocarpus,Hallosaccion,-1
Corallina-vancouvriensis,Hallosaccion,-1
Ulva,Hallosaccion,-1
Porphyra,Hallosaccion,-1
Acrosiphonia,Hallosaccion,-1
Fucus,Hallosaccion,-1
Halichondria-Haliclona,Hallosaccion,-1
Hedophyllum,Hallosaccion,-1
Iridea,Hallosaccion,-1
Leathesia,Hallosaccion,-1
Polysiphonia,Hallosaccion,-1
Prionitis,Hallosaccion,-1
Callithamnion,Hallosaccion,-1
Phyllospadix,Hallosaccion,-1
Mytilus-californianus,Mastocarpus,-1
Mytilus-trossulus,Mastocarpus,-1
Pollicipes,Mastocarpus,-1
Semibalanus-cariosus,Mastocarpus,1
Balanus-glandula,Mastocarpus,1
Hallosaccion,Mastocarpus,-1
Mastocarpus,Mastocarpus,1
Corallina-vancouvriensis,Mastocarpus,-1
Endocladia,Mastocarpus,-1
Ulva,Mastocarpus,-1
Porphyra,Mastocarpus,-1
Petrocelis-Ralfsia,Mastocarpus,1
Acrosiphonia,Mastocarpus,-1
Fucus,Mastocarpus,-1
Microcladia,Mastocarpus,-1
Halichondria-Haliclona,Mastocarpus,-1
Hedophyllum,Mastocarpus,-1
Iridea,Mastocarpus,-1
Leathesia,Mastocarpus,-1
Polysiphonia,Mastocarpus,-1
Prionitis,Mastocarpus,-1
Callithamnion,Mastocarpus,-1
Phyllospadix,Mastocarpus,-1
Mytilus-californianus,Corallina-vancouvriensis,-1
Mytilus-trossulus,Corallina-vancouvriensis,-1
Pollicipes,Corallina-vancouvriensis,-1
Hallosaccion,Corallina-vancouvriensis,-1
Mastocarpus,Corallina-vancouvriensis,-1
Corallina-vancouvriensis,Corallina-vancouvriensis,1
Endocladia,Corallina-vancouvriensis,-1
Ulva,Corallina-vancouvriensis,-1
Porphyra,Corallina-vancouvriensis,-1
Acrosiphonia,Corallina-vancouvriensis,-1
Fucus,Corallina-vancouvriensis,-1
Microcladia,Corallina-vancouvriensis,-1
Hedophyllum,Corallina-vancouvriensis,-1
Anthopleura,Corallina-vancouvriensis,-1
Iridea,Corallina-vancouvriensis,-1
Leathesia,Corallina-vancouvriensis,-1
Polysiphonia,Corallina-vancouvriensis,-1
Ugly-Clam,Corallina-vancouvriensis,-1
Prionitis,Corallina-vancouvriensis,-1
Callithamnion,Corallina-vancouvriensis,-1
Pollicipes,Endocladia,-1
Semibalanus-cariosus,Endocladia,1
Balanus-glandula,Endocladia,1
Hallosaccion,Endocladia,-1
Mastocarpus,Endocladia,-1
Corallina-vancouvriensis,Endocladia,-1
Endocladia,Endocladia,1
Ulva,Endocladia,-1
Porphyra,Endocladia,-1
Acrosiphonia,Endocladia,-1
Fucus,Endocladia,-1
Microcladia,Endocladia,-1
