Parent,Child,Sign
Mytilus-californianus,Mytilus-californianus,1
Balanus-glandula,Mytilus-californianus,1
Hallosaccion,Mytilus-californianus,1
Ulva,Mytilus-californianus,1
Halichondria-Haliclona,Mytilus-californianus,1
Iridea,Mytilus-californianus,-1
Chthamalus,Mytilus-californianus,1
Lottia-paradigitalis,Mytilus-californianus,-1
Lottia-scutum,Mytilus-californianus,-1
Onchidella-borealis,Mytilus-californianus,-1
Chironomidae,Mytilus-californianus,-1
Mytilus-trossulus,Mytilus-trossulus,1
Balanus-glandula,Mytilus-trossulus,1
Hallosaccion,Mytilus-trossulus,1
Ulva,Mytilus-trossulus,1
Halichondria-Haliclona,Mytilus-trossulus,1
Chthamalus,Mytilus-trossulus,1
Lottia-paradigitalis,Mytilus-trossulus,-1
Lottia-scutum,Mytilus-trossulus,-1
Onchidella-borealis,Mytilus-trossulus,-1
Chironomidae,Mytilus-trossulus,-1
Skinny-annelid,Mytilus-trossulus,-1
Oedignathus,Mytilus-trossulus,-1
Pollicipes,Pollicipes,1
Chthamalus,Pollicipes,1
Lottia-paradigitalis,Pollicipes,-1
Lottia-scutum,Pollicipes,-1
Onchidella-borealis,Pollicipes,-1
Mopalia,Pollicipes,-1
Chironomidae,Pollicipes,-1
Oedignathus,Pollicipes,-1
Mytilus-californianus,Balanus-glandula,-1
Mytilus-trossulus,Balanus-glandula,-1
Balanus-glandula,Balanus-glandula,1
Microcladia,Balanus-glandula,-1
Nucella-ostrina,Balanus-glandula,-1
Lottia-paradigitalis,Balanus-glandula,-1
Lottia-scutum,Balanus-glandula,-1
Onchidella-borealis,Balanus-glandula,-1
Mopalia,Balanus-glandula,-1
Chironomidae,Balanus-glandula,-1
Skinny-annelid,Balanus-glandula,-1
Oedignathus,Balanus-glandula,-1
Mytilus-californianus,Hallosaccion,-1
Mytilus-trossulus,Hallosaccion,-1
Hallosaccion,Hallosaccion,1
Microcladia,Hallosaccion,-1
Nucella-ostrina,Hallosaccion,-1
Lottia-paradigitalis,Hallosaccion,-1
Lottia-scutum,Hallosaccion,-1
Onchidella-borealis,Hallosaccion,-1
Chironomidae,Hallosaccion,-1
Skinny-annelid,Hallosaccion,-1
Oedignathus,Hallosaccion,-1
Mastocarpus,Mastocarpus,1
Katharina-tunicata,Mastocarpus,-1
Mopalia,Mastocarpus,-1
Nemertea,Mastocarpus,-1
Littorina-scutulata,Mastocarpus,-1
Strongylocentrotus-purpuratus,Mastocarpus,-1
Lepasterias-hexactis,Mastocarpus,-1
Amphipoda,Mastocarpus,-1
Amphissa-columbiana,Mastocarpus,-1
Idotea,Mastocarpus,-1
Cirolana,Mastocarpus,-1
Calliostoma-ligatum,Mastocarpus,-1
Sipunculid,Mastocarpus,-1
Corallina-vancouvriensis,Corallina-vancouvriensis,1
Katharina-tunicata,Corallina-vancouvriensis,-1
Mopalia,Corallina-vancouvriensis,-1
Nemertea,Corallina-vancouvriensis,-1
Littorina-scutulata,Corallina-vancouvriensis,-1
Strongylocentrotus-purpuratus,Corallina-vancouvriensis,-1
