Parent,Child,Sign
Mytilus-californianus,Mytilus-californianus,1
Semibalanus-cariosus,Mytilus-californianus,1
Balanus-glandula,Mytilus-californianus,1
Endocladia,Mytilus-californianus,1
Microcladia,Mytilus-californianus,1
Anthopleura,Mytilus-californianus,-1
Polysiphonia,Mytilus-californianus,1
Callithamnion,Mytilus-californianus,1
Nucella-ostrina,Mytilus-californianus,-1
Nucella-canalicalata,Mytilus-californianus,-1
Lepasterias-hexactis,Mytilus-californianus,-1
Pinnotheres-pisum,Mytilus-californianus,-1
Mytilus-trossulus,Mytilus-trossulus,1
Semibalanus-cariosus,Mytilus-trossulus,1
Balanus-glandula,Mytilus-trossulus,1
Endocladia,Mytilus-trossulus,1
Microcladia,Mytilus-trossulus,1
Polysiphonia,Mytilus-trossulus,1
Callithamnion,Mytilus-trossulus,1
Nucella-ostrina,Mytilus-trossulus,-1
Nucella-canalicalata,Mytilus-trossulus,-1
Lepasterias-hexactis,Mytilus-trossulus,-1
Ocenebra-interfossa,Mytilus-trossulus,-1
Notoplana,Mytilus-trossulus,-1
Pinnotheres-pisum,Mytilus-trossulus,-1
Pollicipes,Pollicipes,1
Nucella-ostrina,Pollicipes,-1
Nucella-canalicalata,Pollicipes,-1
Lottia-digitalis,Pollicipes,-1
Lepasterias-hexactis,Pollicipes,-1
Notoplana,Pollicipes,-1
Mytilus-californianus,Semibalanus-cariosus,-1
Mytilus-trossulus,Semibalanus-cariosus,-1
Semibalanus-cariosus,Semibalanus-cariosus,1
Fucus,Semibalanus-cariosus,-1
Nucella-ostrina,Semibalanus-cariosus,-1
Nucella-canalicalata,Semibalanus-cariosus,-1
Lottia-digitalis,Semibalanus-cariosus,-1
Lottia-paradigitalis,Semibalanus-cariosus,-1
Lepasterias-hexactis,Semibalanus-cariosus,-1
Ocenebra-interfossa,Semibalanus-cariosus,-1
Notoplana,Semibalanus-cariosus,-1
Mytilus-californianus,Balanus-glandula,-1
Mytilus-trossulus,Balanus-glandula,-1
Balanus-glandula,Balanus-glandula,1
Fucus,Balanus-glandula,-1
Nucella-ostrina,Balanus-glandula,-1
Nucella-canalicalata,Balanus-glandula,-1
Nemertea,Balanus-glandula,-1
Lepasterias-hexactis,Balanus-glandula,-1
Ocenebra-interfossa,Balanus-glandula,-1
Notoplana,Balanus-glandula,-1
Hallosaccion,Hallosaccion,1
Lottia-pelta,Hallosaccion,-1
Lottia-digitalis,Hallosaccion,-1
Lottia-paradigitalis,Hallosaccion,-1
Lottia-scutum,Hallosaccion,-1
Katharina-tunicata,Hallosaccion,-1
Mopalia,Hallosaccion,-1
Littorina-sitkana,Hallosaccion,-1
Littorina-scutulata,Hallosaccion,-1
Strongylocentrotus-purpuratus,Hallosaccion,-1
Amphipoda,Hallosaccion,-1
Idotea,Hallosaccion,-1
Lepidochitona,Hallosaccion,-1
Mastocarpus,Mastocarpus,1
Lottia-pelta,Mastocarpus,-1
Lottia-digitalis,Mastocarpus,-1
Lottia-paradigitalis,Mastocarpus,-1
Lottia-scutum,Mastocarpus,-1
Katharina-tunicata,Mastocarpus,-1
Mopalia,Mastocarpus,-1
Littorina-sitkana,Mastocarpus,-1
Littorina-scutulata,Mastocarpus,-1
Strongylocentrotus-purpuratus,Mastocarpus,-1
Amphipoda,Mastocarpus,-1
Idotea,Mastocarpus,-1
Lepidochitona,Mastocarpus,-1
Corallina-vancouvriensis,Corallina-vancouvriensis,1
Halichondria-Haliclona,Corallina-vancouvriensis,-1
Phyllospadix,Corallina-vancouvriensis,-1
Katharina-tunicata,Corallina-vancouvriensis,-1
Strongylocentrotus-purpuratus,Corallina-vancouvriensis,-1
Tonicella-lineata,Corallina-vancouvriensis,-1
Mytilus-californianus,Endocladia,-1
Mytilus-trossulus,Endocladia,-1
Endocladia,Endocladia,1
Lottia-pelta,Endocladia,-1
Lottia-digitalis,Endocladia,-1
Lottia-paradigitalis,Endocladia,-1
Lottia-scutum,Endocladia,-1
Katharina-tunicata,Endocladia,-1
Mopalia,Endocladia,-1
Littorina-sitkana,Endocladia,-1
Littorina-scutulata,Endocladia,-1
Strongylocentrotus-purpuratus,Endocladia,-1
Amphipoda,Endocladia,-1
Ulva,Ulva,1
Lottia-pelta,Ulva,-1
Lottia-digitalis,Ulva,-1
Lottia-paradigitalis,Ulva,-1
Lottia-scutum,Ulva,-1
Onchidella-borealis,Ulva,-1
Katharina-tunicata,Ulva,-1
Mopalia,Ulva,-1
Littorina-sitkana,Ulva,-1
Littorina-scutulata,Ulva,-1
Strongylocentrotus-purpuratus,Ulva,-1
Amphipoda,Ulva,-1
Idotea,Ulva,-1
Lepidochitona,Ulva,-1
Porphyra,Porphyra,1
Lottia-pelta,Porphyra,-1
Lottia-digitalis,Porphyra,-1
Lottia-paradigitalis,Porphyra,-1
Lottia-scutum,Porphyra,-1
Katharina-tunicata,Porphyra,-1
Mopalia,Porphyra,-1
Littorina-sitkana,Porphyra,-1
Littorina-scutulata,Porphyra,-1
Strongylocentrotus-purpuratus,Porphyra,-1
Amphipoda,Porphyra,-1
Idotea,Porphyra,-1
Lepidochitona,Porphyra,-1
Petrocelis-Ralfsia,Petrocelis-Ralfsia,1
Lottia-scutum,Petrocelis-Ralfsia,-1
Acrosiphonia,Acrosiphonia,1
Lottia-pelta,Acrosiphonia,-1
Lottia-digitalis,Acrosiphonia,-1
Lottia-paradigitalis,Acrosiphonia,-1
Lottia-scutum,Acrosiphonia,-1
Onchidella-borealis,Acrosiphonia,-1
Katharina-tunicata,Acrosiphonia,-1
Mopalia,Acrosiphonia,-1
Littorina-sitkana,Acrosiphonia,-1
Littorina-scutulata,Acrosiphonia,-1
Strongylocentrotus-purpuratus,Acrosiphonia,-1
Amphipoda,Acrosiphonia,-1
Idotea,Acrosiphonia,-1
Lepidochitona,Acrosiphonia,-1
Diatoms,Diatoms,1
Lottia-pelta,Diatoms,-1
Lottia-digitalis,Diatoms,-1
Lottia-paradigitalis,Diatoms,-1
Lottia-scutum,Diatoms,-1
Onchidella-borealis,Diatoms,-1
Katharina-tunicata,Diatoms,-1
Mopalia,Diatoms,-1
Littorina-sitkana,Diatoms,-1
Littorina-scutulata,Diatoms,-1
Strongylocentrotus-purpuratus,Diatoms,-1
Amphipoda,Diatoms,-1
Amphissa-columbiana,Diatoms,-1
Idotea,Diatoms,-1
Cirolana,Diatoms,-1
Chironomidae,Diatoms,-1
Tonicella-lineata,Diatoms,-1
Calliostoma-ligatum,Diatoms,-1
Sipunculid,Diatoms,-1
Cucumaria,Diatoms,-1
